frame_index,ball_id,x,y,w,h,visible,held,keyframe
53,2,590.1,992.765,80.7,83.51,1,1,1
54,0,773.43,1236.17,85.46,75.08,1,1,1
54,1,480.265,579.88,78.85,79.38,1,0,1
54,2,594.035,963.12,80.65,86.68,1,0,1
55,0,768.66,1254.72,82.3,68.38,1,1,1
55,1,479.83,590.1,77.88,78.46,1,0,1
55,2,598.735,935.9,81.67,91.78,1,0,1
56,0,768.695,1268.565,75.23,60.51,1,1,1
56,1,478.61,601.185,76.68,77.31,1,0,1
56,2,601.72,905.035,81.14,87.55,1,0,1
57,0,764.35,1282.495,73.26,59.65,1,1,1
57,1,478.5,613.285,75.52,77.57,1,0,1
57,2,606.59,877.305,81.54,86.47,1,0,1
58,0,759.4,1297.23,73.4,59.82,1,1,1
58,1,478.405,626.53,75.23,78.2,1,0,1
58,2,610.33,850.245,81.9,86.13,1,0,1
59,0,754.905,1311.07,73.23,62.0,1,1,1
59,1,476.955,640.44,74.69,76.32,1,0,1
59,2,615.41,821.99,82.2,85.86,1,0,1
60,0,748.485,1324.625,73.91,63.95,1,1,1
60,1,476.04,656.495,74.54,75.69,1,0,1
60,2,619.63,794.08,81.46,84.36,1,0,1
61,0,743.47,1337.665,73.84,64.31,1,1,1
61,1,476.185,669.86,73.69,76.66,1,0,1
61,2,623.695,767.92,80.29,85.04,1,0,1
62,0,738.445,1349.76,72.65,65.58,1,1,1
62,1,476.015,685.265,72.65,74.31,1,0,1
62,2,626.63,743.61,81.86,83.78,1,0,1
63,0,731.635,1361.1,74.25,67.78,1,1,1
63,1,474.325,701.815,73.93,75.89,1,0,1
63,2,631.315,719.88,80.73,83.98,1,0,1
64,0,724.61,1371.4,73.32,69.56,1,1,1
64,1,474.295,720.42,72.47,77.14,1,0,1
64,2,635.31,695.835,80.1,83.89,1,0,1
65,0,718.67,1378.755,73.62,71.05,1,1,1
65,1,474.05,737.775,72.36,76.95,1,0,1
65,2,639.19,673.275,79.06,85.21,1,0,1
66,0,712.43,1386.175,73.8,72.29,1,1,1
66,1,474.215,755.57,72.87,76.3,1,0,1
66,2,642.79,651.26,79.76,87.18,1,0,1
67,0,706.19,1391.955,73.74,72.51,1,1,1
67,1,473.56,774.935,72.4,76.29,1,0,1
67,2,647.055,628.51,79.65,86.44,1,0,1
68,0,699.09,1396.545,73.74,73.13,1,1,1
68,1,472.655,794.655,72.21,76.01,1,0,1
68,2,650.72,608.06,80.24,88.56,1,0,1
69,0,691.725,1399.68,73.67,73.62,1,1,1
69,1,471.615,813.89,71.47,77.12,1,0,1
69,2,654.6,588.31,80.08,88.8,1,0,1
70,0,684.855,1401.425,73.97,74.21,1,1,1
70,1,470.05,835.71,69.54,77.46,1,0,1
70,2,658.525,569.855,80.37,89.13,1,0,1
71,0,677.935,1402.975,74.59,74.19,1,1,1
71,1,470.23,863.41,67.72,90.96,1,0,1
71,2,661.73,551.725,80.94,89.15,1,0,1
